test_id,economic_pct,hashrate_pct,v27_final_height,v26_final_height,final_fork_depth,final_height_diff,risk_score,risk_level,consensus_chain,chain_a_custody,chain_a_volume,chain_a_weight,chain_b_custody,chain_b_volume,chain_b_weight,weight_ratio,expected_v27_blocks,expected_v26_blocks,aligned
test-test-1.1-E95-H10-dynamic,95,10,119,227,144,-108,39.4,LOW,Chain A,3838511.8,402851.74,54.05,158240.0,15823.0,2.15,25.13953488372093,30.0,270.0,False
test-test-1.2-E10-H95-dynamic,10,95,227,113,138,114,2.0,MINIMAL,Chain A,191160.0,19115.0,2.59,3.5,1.12,0.0,,285.0,15.0,False
test-test-1.3-E90-H90-dynamic,90,90,257,121,176,136,38.8,LOW,Chain A,3783283.5,396328.12,53.2,413466.4,43347.3,5.82,9.140893470790378,270.0,30.0,True
test-test-2.1-E50-H40-dynamic,50,40,175,177,150,-2,21.5,LOW,Chain A,2092290.4,219228.59,29.43,104460.0,10445.0,1.42,20.725352112676056,120.0,180.0,False
test-test-2.10-E70-H49-dynamic,70,49,186,192,176,-6,29.8,LOW,Chain A,2901426.6,304141.98,40.82,1295324.2,135532.21,18.21,2.241625480505217,147.0,153.0,False
test-test-2.11-E50-H50-dynamic,50,50,187,191,176,-4,21.6,LOW,Chain A,2101427.6,220141.98,29.55,2095324.2,219532.21,29.48,1.0023744911804613,150.0,150.0,True
test-test-2.12-E52-H48-dynamic,52,48,186,192,176,-6,22.3,LOW,Chain A,2175126.6,227912.98,30.6,2021624.2,211762.21,28.43,1.0763278227224764,144.0,156.0,False
test-test-2.13-E48-H52-dynamic,48,52,192,186,176,6,20.9,LOW,Chain B,2035066.5999999999,213105.98,28.62,2161684.2,226568.21,30.42,0.9408284023668639,156.0,144.0,False
test-test-2.14-E55-H55-dynamic,55,55,196,182,176,14,23.7,LOW,Chain A,2315068.6,242507.98,32.56,1881683.2,197167.21,26.47,1.230071779372875,165.0,135.0,True
test-test-2.15-E45-H45-dynamic,45,45,182,171,151,11,19.4,MINIMAL,Chain A,1892290.4,198228.59,26.61,104460.0,10445.0,1.42,18.73943661971831,135.0,165.0,True
test-test-2.2-E60-H40-dynamic,60,40,174,177,149,-3,25.6,LOW,Chain A,2492289.4,261229.59,35.06,104460.0,10445.0,1.42,24.690140845070424,120.0,180.0,False
test-test-2.3-E70-H40-dynamic,70,40,175,177,150,-2,29.7,LOW,Chain A,2892289.4,303228.58999999997,40.7,104460.0,10445.0,1.42,28.66197183098592,120.0,180.0,False
test-test-2.4-E80-H40-dynamic,80,40,175,177,150,-2,33.8,LOW,Chain A,3292290.4,345228.58999999997,46.34,104460.0,10445.0,1.42,32.633802816901415,120.0,180.0,False
test-test-2.5-E90-H40-dynamic,90,40,175,177,150,-2,37.9,LOW,Chain A,3692290.4,387228.58999999997,51.97,104460.0,10445.0,1.42,36.598591549295776,120.0,180.0,False
test-test-2.6-E70-H20-dynamic,70,20,139,207,144,-68,29.3,LOW,Chain A,2853790.8,299378.74,40.18,142960.0,14295.0,1.94,20.711340206185568,60.0,240.0,False
test-test-2.8-E70-H40-dynamic,70,40,175,177,150,-2,29.7,LOW,Chain A,2892289.4,303228.58999999997,40.7,104460.0,10445.0,1.42,28.66197183098592,120.0,180.0,False
test-test-2.9-E70-H45-dynamic,70,45,182,171,151,11,29.7,LOW,Chain A,2892289.4,303228.58999999997,40.7,104460.0,10445.0,1.42,28.66197183098592,135.0,165.0,False
