scenario_id,outcome,economic_split,hashrate_split,pool_ideology_strength,pool_profitability_threshold,pool_max_loss_pct,pool_committed_split,pool_neutral_pct,econ_ideology_strength,user_ideology_strength,v27_hash_share,v27_econ_share,v27_block_share,total_reorgs,total_orphans,duration,econ_inertia,econ_switching_threshold,economic_nodes_per_partition,final_v26_economic,final_v26_hashrate,final_v26_price,final_v27_economic,final_v27_hashrate,final_v27_price,reorg_mass,solo_miner_hashrate,total_blocks,transaction_velocity,user_nodes_per_partition,user_switching_threshold,v26_blocks,v27_blocks,winning_fork
sweep_0000,v27_dominant,0.524,0.606,0.514,0.171,0.435,0.826,34.287,0.221,0.71,1.0,0.5,0.9045112781954887,7,0,2500,0.087,0.242,2,50.0,0.0,54765.03216955749,50.0,98.36999999999999,65156.72783044252,882,0.128,1330,0.562,3,0.062,127,1203,v27
sweep_0001,v26_dominant,0.742,0.274,0.873,0.064,0.096,0.702,43.623,0.552,0.77,0.0,0.5,0.06269113149847094,1,72,2500,0.233,0.076,1,50.0,98.36999999999999,65428.036049608876,50.0,0.0,54493.72395039113,81,0.02,1308,0.351,5,0.086,1226,82,v26
sweep_0002,v26_dominant,0.103,0.358,0.676,0.289,0.029,0.388,39.482,0.098,0.607,0.0,0.5,0.06331045003813883,1,73,2500,0.114,0.073,2,50.0,98.36999999999999,65425.14727093114,50.0,0.0,54496.61272906886,82,0.062,1311,0.874,2,0.144,1228,83,v26
sweep_0003,v26_dominant,0.039,0.194,0.296,0.214,0.077,0.878,17.074,0.455,0.3,0.0,0.5,0.06269113149847094,1,72,2500,0.062,0.175,2,50.0,98.36999999999999,65428.45827666494,50.0,0.0,54493.30172333507,81,0.041,1308,0.666,5,0.17,1226,82,v26
sweep_0004,v26_dominant,0.885,0.128,0.209,0.216,0.034,0.138,20.445,0.599,0.162,0.0,0.5,0.0008077544426494346,0,0,2500,0.19,0.112,3,50.0,98.36999999999999,65915.6390919839,50.0,0.0,54006.12090801609,0,0.112,1238,0.564,6,0.103,1237,1,v26
sweep_0005,v26_dominant,0.789,0.241,0.413,0.03,0.375,0.531,15.105,0.662,0.349,0.0,0.5,0.06206896551724138,1,71,2500,0.071,0.129,1,50.0,98.36999999999999,65432.563541418676,50.0,0.0,54489.19645858132,80,0.122,1305,0.784,7,0.141,1224,81,v26
sweep_0006,v26_dominant,0.926,0.159,0.269,0.117,0.232,0.596,12.248,0.308,0.484,0.0,0.5,0.06273909716908951,1,72,2500,0.128,0.214,3,50.0,98.36999999999999,65431.04759246731,50.0,0.0,54490.7124075327,81,0.048,1307,0.51,10,0.054,1225,82,v26
sweep_0007,v27_dominant,0.072,0.903,0.796,0.092,0.123,0.731,10.021,0.15,0.475,1.0,0.5,0.9832535885167464,3,0,2500,0.26,0.04,2,50.0,0.0,54129.323988213204,50.0,98.36999999999999,65792.43601178679,60,0.107,1254,0.832,4,0.11,21,1233,v27
sweep_0008,v27_dominant,0.774,0.886,0.34,0.05,0.467,0.414,34.891,0.003,0.584,1.0,0.5,0.9777954004758128,4,0,2500,0.266,0.182,1,50.0,0.0,54172.709443236636,50.0,98.36999999999999,65749.05055676338,108,0.138,1261,0.604,2,0.194,28,1233,v27
sweep_0009,v26_dominant,0.699,0.309,0.562,0.079,0.247,0.575,19.132,0.193,0.823,0.0,0.5,0.06283524904214559,1,72,2500,0.242,0.057,2,50.0,98.36999999999999,65429.19932043499,50.0,0.0,54492.56067956501,81,0.053,1305,0.457,8,0.069,1223,82,v26
sweep_0010,v27_dominant,0.913,0.974,0.498,0.076,0.473,0.984,27.798,0.27,0.197,1.0,0.5,0.9943593875906527,1,0,2500,0.118,0.186,1,50.0,0.0,54043.17030146327,50.0,98.36999999999999,65878.58969853673,6,0.078,1241,0.734,10,0.114,7,1234,v27
sweep_0011,v27_dominant,0.083,0.532,0.247,0.152,0.346,0.037,38.416,0.234,0.33,1.0,0.5,0.9045112781954887,7,63,2500,0.294,0.089,2,50.0,0.0,54764.247552370056,50.0,98.36999999999999,65157.51244762995,882,0.055,1330,0.179,5,0.092,127,1203,v27
sweep_0012,v26_dominant,0.369,0.177,0.456,0.135,0.189,0.108,16.376,0.426,0.543,0.0,0.5,0.062021439509954056,1,71,2500,0.275,0.067,3,50.0,98.36999999999999,65433.20002037879,50.0,0.0,54488.559979621205,80,0.131,1306,0.698,9,0.076,1225,81,v26
sweep_0013,v27_dominant,0.423,0.664,0.122,0.3,0.498,0.898,30.763,0.187,0.22,1.0,0.5,0.9340996168582375,6,0,2500,0.069,0.223,3,50.0,0.0,54522.03070244264,50.0,98.36999999999999,65399.72929755737,510,0.024,1305,0.532,5,0.148,86,1219,v27
sweep_0014,v26_dominant,0.726,0.423,0.756,0.248,0.114,0.934,24.844,0.738,0.815,0.0,0.5,0.1092436974789916,2,128,2500,0.162,0.181,3,50.0,98.36999999999999,65050.54719150187,50.0,0.0,54871.21280849813,284,0.084,1309,0.147,6,0.081,1166,143,v26
sweep_0015,v27_dominant,0.055,0.718,0.348,0.041,0.448,0.265,48.412,0.017,0.841,1.0,0.5,0.9342507645259939,6,0,2500,0.298,0.035,3,50.0,0.0,54521.41613345441,50.0,98.36999999999999,65400.34386654559,510,0.118,1308,0.627,10,0.135,86,1222,v27
