scenario_id,outcome,econ_outcome,v27_hash_share,v27_econ_share,v27_block_share,econ_initial,econ_final,econ_delta,econ_switched,econ_outcome,econ_switch_time_s,econ_95pct_time_s,cascade_time_s,econ_lag_s,peak_price_gap_pct,total_reorgs,total_orphans,duration,final_v26_economic,final_v26_hashrate,final_v26_price,final_v27_economic,final_v27_hashrate,final_v27_price,reorg_mass,total_blocks,v26_blocks,v26_fork_valuation,v26_pool_opportunity_cost,v27_blocks,v27_fork_valuation,v27_pool_opportunity_cost,winning_fork
sweep_0000,contested,no_switch,0.5844907407407407,0.56737060138721,0.5857547838412474,56.74,56.74,0.0,False,no_switch,None,None,None,None,6.21,5,0,13000,43.262939861279,35.9,57878.69664805301,56.737060138721,50.5,61468.503351947,166,2822,1169,124917135761.181,134850425.77943105,1653,173982959802.28757,0,v27
sweep_0001,contested,no_switch,0.5844907407407407,0.56737060138721,0.5908372827804107,56.74,56.74,0.0,False,no_switch,None,None,None,None,6.36,5,0,13000,43.262939861279,35.9,57833.14233721638,56.737060138721,50.5,61514.05766278362,117,1899,777,124818817824.51616,137675327.43983316,1122,174111898582.2954,0,v27
sweep_0002,contested,no_switch,0.5844907407407407,0.56737060138721,0.5839299920445505,56.74,56.74,0.0,False,no_switch,None,None,None,None,6.2,5,0,13000,43.262939861279,35.9,57887.149877784475,56.737060138721,50.5,61460.05012221552,233,2514,1046,124935380008.32442,135475902.11697257,1468,173959033435.9638,0,v27
sweep_0003,contested,no_switch,0.5844907407407407,0.56737060138721,0.5873544093178037,56.74,56.74,0.0,False,no_switch,None,None,None,None,6.31,5,0,13000,43.262939861279,35.9,57859.76626044243,56.737060138721,50.5,61487.433739557564,330,3005,1240,124876279108.62814,138825515.43411657,1765,174036541143.74033,0,v27
sweep_0004,v27_dominant,no_switch,1.0,0.56737060138721,0.6856899488926746,56.74,56.74,0.0,False,no_switch,None,None,12130.0,None,13.48,10,0,13000,43.262939861279,0.0,55904.98025436171,56.737060138721,86.4,63442.21974563829,7698,4696,1476,120657347393.7265,0,3220,179569447210.62027,120043124.20858794,v27
sweep_0005,v26_dominant,no_switch,0.0,0.56737060138721,0.22474699255298836,56.74,56.74,0.0,False,no_switch,None,None,None,None,0.42,4,0,13000,43.262939861279,86.4,62392.35789523264,56.737060138721,0.0,56954.84210476737,1288,5237,4060,134658779361.4587,43087438.35123177,1177,161207308850.89145,0,v26
sweep_0006,v27_dominant,no_switch,1.0,0.5673741253525133,0.7668776371308017,56.74,56.74,0.0,False,no_switch,None,None,8417.0,None,15.97,10,0,13000,43.26258746474866,0.0,55260.171604680305,56.73741253525133,86.4,64087.02839531971,8343,6636,1547,119264712764.08522,0,5089,181395666570.83063,76271608.13222131,v27
sweep_0007,v27_dominant,no_switch,1.0,0.56737060138721,0.724540581929556,56.74,56.74,0.0,False,no_switch,None,None,11565.0,None,14.12,10,0,13000,43.262939861279,0.0,55737.89316100138,56.737060138721,86.4,63609.306838998615,7484,5224,1439,120296730407.9614,0,3785,180042377336.82074,112615952.1527965,v27
sweep_0008,v27_dominant,no_switch,1.0,0.56737060138721,0.7234080398434721,56.74,56.74,0.0,False,no_switch,None,None,11530.0,None,14.0,10,0,13000,43.262939861279,0.0,55770.7752413423,56.737060138721,86.4,63576.424758657704,8408,5622,1555,120367698407.10335,0,4067,179949306555.03494,110276764.9091877,v27
sweep_0009,v26_dominant,no_switch,0.34722222222222227,0.56737060138721,0.35528596187175043,56.74,56.74,0.0,False,no_switch,None,None,None,None,0.38,3,0,13000,43.262939861279,56.39999999999999,60551.59795318145,56.737060138721,30.0,58795.60204681856,84,2308,1488,130685945263.56636,0,820,166417470893.87878,52825297.95039672,v26
sweep_0010,v27_dominant,no_switch,1.0,0.56737060138721,0.6912820512820513,56.74,56.74,0.0,False,no_switch,None,None,12247.0,None,13.45,10,0,13000,43.262939861279,0.0,55913.41751754176,56.737060138721,86.4,63433.78248245824,7751,4875,1505,120675557180.9393,0,3370,179545566036.6751,125055181.3728438,v27
sweep_0011,v26_dominant,no_switch,0.34722222222222227,0.56737060138721,0.35244922341696533,56.74,56.74,0.0,False,no_switch,None,None,None,None,0.08,3,0,13000,43.262939861279,56.39999999999999,60585.79434814565,56.737060138721,30.0,58761.40565185435,66,1674,1084,130759749892.20651,0,590,166320680022.35916,64345065.680616856,v26
